completion_id,completion_name,first_production_ts,division_id,primo_prprty,fac_primo_prprty
750001348,RED HILLS 1H,2018-01-01 00:00:00,10,69420,69419
750001349,RED HILLS 2H,2018-01-01 01:00:00,10,69421,69419
750001350,RED HILLS 3H,2018-01-01 02:00:00,10,69422,69419
750001351,RED HILLS 4H,2018-01-01 03:00:00,10,69423,69419
750001352,RED HILLS 5H,2018-01-01 04:00:00,10,69424,69419
750001353,RED HILLS 6H,2018-01-01 05:00:00,10,69425,69419
750001354,RED HILLS 7H,2018-01-02 05:30:00,10,69426,69419
750001355,RED HILLS 8H,2018-01-02 06:30:00,10,69427,69419
750001356,RED HILLS 9H,2018-01-02 08:00:00,10,69428,69419
750001357,RED HILLS 10H,2018-01-02 08:10:00,10,69429,69419
750001358,RED HILLS 11H,2018-01-02 09:00:00,10,69430,69419
750001359,RED HILLS 12H,2018-01-02 09:05:00,10,69431,69419
384793742,BROWN ROCK WELL,2016-11-14 07:30:15,14,480001,
